day,price
1,1.0
2,1.0325303094821556
3,1.0059593623628234
4,1.0119656191442372
5,1.0095788217855086
6,1.011209364448975
7,1.0013807118279907
8,1.002962541657098
9,0.9986211164675052
10,0.9991852136533675
11,1.0197668819572372
12,1.000186575844265
13,0.9778106897349204
14,1.0087119776051803
15,1.0000663462074881
16,0.9780171503546192
17,0.9696745083301429
18,0.9865645819442849
19,0.9780679381722599
20,0.9570645385908428
21,0.9335393191872497
22,0.9719492351270985
23,0.9597368320219604
24,0.9919035833906985
25,0.8783226542715442
26,0.9603481963972618
27,0.9819695738903584
28,0.994003173707549
29,0.997166119963624
30,0.9974669159589074
