day,price
1,1.0
2,0.9774157664525587
3,0.9140553954086056
4,0.960099246455953
5,0.9328362485585827
6,0.9732704747996903
7,0.9917033074502757
8,0.9598966682779372
9,0.9887575060900373
10,1.0324196361826743
11,1.0194910532637265
12,1.0035831918377813
13,1.1266994511794024
14,1.1359060644240706
15,1.0643880801898211
16,1.4880416960214002
17,1.407234215026546
18,1.1994051307200888
19,1.3100185562018285
20,1.4859459181130605
21,1.5994234066919628
22,1.6773652428091257
23,1.6832829281394608
24,1.6553918914866492
25,1.636307580451998
26,1.6171098542850673
27,1.562625418497081
28,1.580345333452851
29,1.561555454729248
30,1.480283082666468
