day,price
1,1.0
2,0.9711851825377249
3,0.9462914702499821
4,0.8420834208477955
5,0.7857331536524088
6,1.1593152752991958
7,1.088564682368996
8,1.0433515408410101
9,1.294800589527241
10,1.255000271148155
11,1.2325892635402034
12,1.2325600135145152
13,1.1681226904886652
14,1.3525422227490957
15,1.6007595918331496
16,1.6149351342832876
17,1.7552320155843555
18,1.709535146495561
19,1.6486103325352226
20,1.5710806407195939
21,1.7498356087174598
22,1.5799729467190955
23,1.4300801499053808
24,1.3437449283195968
25,1.321184784584101
26,1.4134160093225756
27,1.3534546592687497
28,1.2093182496398445
29,1.1989821079329013
30,1.2184287930359121
