day,price
1,1.0
2,1.0049363686851416
3,0.9983125295909845
4,0.9869410344268651
5,0.994369540755199
6,0.9892896874557473
7,0.9848097851616776
8,1.1946495015757503
9,1.2741517126061541
10,1.4096078343628842
11,1.3655166368313187
12,1.352958536636964
13,1.4714235405648184
14,1.4121276671293153
15,1.3807879034674015
16,1.3871156787312096
17,1.3404354168488417
18,1.3397842611602002
19,1.3701119364992675
20,1.374850593902128
21,1.3952193752778814
22,0.9366506148152531
23,1.3803018830253293
24,1.3704714001743545
25,1.3647696581425468
26,1.3895678165739482
27,1.4534778303167637
28,1.453931816741557
29,1.4483462826429474
30,1.410502425208306
