day,price
1,1.0
2,1.010445199063752
3,1.0378482412146828
4,1.0823663219571182
5,1.0757034059321307
6,1.0464784219328307
7,1.0334572400879878
8,1.0292686133017281
9,1.0188214841360907
10,1.0081314874087355
11,1.0313795565937083
12,1.1261087815069348
13,1.1298816182767863
14,1.13646133558251
15,1.140800263053198
16,1.192903128232512
17,1.3114042969066122
18,1.30523370614931
19,1.3382110362630921
20,1.2934881247271564
21,1.3513692365796959
22,1.3456926040478094
23,1.3323861888461745
24,1.3465383533175985
25,1.3722177415123784
26,1.3981359843262944
27,1.460574920368528
28,1.454514914910117
29,1.4405198696248558
30,1.4453068862336438
