day,price
1,1.0
2,0.9941024785979663
3,0.9477352469010565
4,0.9023892118282787
5,0.9778705510674186
6,0.9883256373273512
7,0.9764835732122906
8,0.9434509987901555
9,0.9500613731983868
10,0.9448919195852848
11,0.965847475887558
12,0.9201836810167997
13,0.8720096838337915
14,0.9565459915114587
15,0.9537053584074333
16,0.9038839003025451
17,0.9071184008410029
18,0.908819836463527
19,0.9112263270549008
20,0.9273933305575007
21,0.972396008774075
22,1.0042899980313127
23,1.0259925025772128
24,1.9848773781595244
25,1.590008906974294
26,1.5345977234293666
27,1.4938041165492002
28,1.4675386334515117
29,1.4176674997311967
30,1.3828991713713854
