day,price
1,1.0
2,0.9804556501371895
3,0.9077379794276724
4,0.9672480335084466
5,0.9290271010743593
6,0.8510317643191196
7,0.8467141225955149
8,0.8160611560084793
9,0.841983990240175
10,0.9801979611283211
11,0.954998668734422
12,1.0480951632096343
13,1.0576639785603528
14,1.0419716793317626
15,1.1481961501825317
16,1.12284915929901
17,1.0731199182303095
18,1.0681012831106096
19,1.0826886003543175
20,0.9473935502563225
21,0.9397475471313372
22,0.972863863563081
23,0.9848863240180099
24,0.9276861089664481
25,0.9383661815462062
26,0.9747109852707326
27,0.9632066435787023
28,1.061883724844922
29,1.0519067129345394
30,1.0313892713858053
