day,price
1,1.0
2,1.039891533282587
3,1.1001521301117216
4,1.0200240329792305
5,0.9978843344537781
6,1.0920575764704026
7,1.2060008512142741
8,1.1922904127146623
9,1.2122278062385228
10,1.2279326836204232
11,1.2136561796863008
12,1.33460542897453
13,1.4094138423021871
14,1.4295838176001912
15,1.4357208899095124
16,1.4573904267568718
17,1.46281936701098
18,1.2020619985101768
19,1.141747341406915
20,1.240213650961993
21,1.2314982760585322
22,1.2273692688391085
23,1.170366957675231
24,1.2065360197670083
25,1.1791295240193793
26,1.1047292428054583
27,1.011046471396539
28,0.9288257515267525
29,0.9548078141056647
30,0.9166962789573154
