day,price
1,1.0
2,1.0005891879127493
3,1.0206028415650856
4,1.0217529936605954
5,1.027453802527447
6,1.0404808145386955
7,1.086568356431541
8,1.3871989988777425
9,1.6923089236903748
10,1.5522395318868014
11,1.782926991656264
12,1.7480913064401837
13,1.7998642160664977
14,1.8211921505421926
15,1.7729711739236598
16,1.6750140030726297
17,1.6069262928861312
18,1.5290809721249363
19,1.4748709879169077
20,1.6335026835099284
21,1.3492660047919187
22,1.426556230912589
23,1.3130827548798072
24,1.2617847280400056
25,1.2311455438171695
26,1.2196608498306316
27,1.2591956268533189
28,1.3143370617960208
29,1.3138808116948286
30,1.2954309542693103
