day,price
1,1.0
2,1.3759921846770555
3,1.3464765690806317
4,1.3708937469765137
5,1.256778782283224
6,2.3038134751742425
7,2.8266432516818623
8,2.553715483034521
9,2.475527292079339
10,2.6404628067580274
11,2.5592054527085932
12,2.720835890131971
13,2.646076390527018
14,1.998439867959362
15,1.8102686632274836
16,2.1097509914861616
17,2.718984713161369
18,2.1120034331572026
19,1.5328989622747324
20,1.4539363016772198
21,0.6890033063147779
22,0.6016573315780167
23,1.3279325368952022
24,1.1030482726002815
25,1.180815782472748
26,1.9796560253768334
27,1.9739884111883026
28,1.4053429829117292
29,1.515265113132996
30,1.399520919593189
