day,price
1,1.0
2,0.8507261380314186
3,0.874520716939171
4,0.8401721082742878
5,0.7357353471253144
6,0.729450650942616
7,0.7005504527052296
8,0.6652064910203639
9,0.7080211991020962
10,0.7879917689732802
11,0.7774842275061918
12,0.7447902070166093
13,0.7643772295778589
14,0.7550029071188383
15,0.8225904458582348
16,0.8511146281507261
17,0.79083489846079
18,0.8319466648735743
19,0.9158570654874434
20,0.9547445199413068
21,0.9735905199999585
22,1.099952497547116
23,1.0717900747508213
24,1.0913571509249214
25,1.012433570731889
26,2.336134066204589
27,4.260820547099439
28,3.618403581304021
29,6.491503448366236
30,3.3751248090208685
