day,price
1,1.0
2,1.042139569866795
3,1.0408750059927674
4,0.9909867998284215
5,0.9856779746253658
6,0.9732776209454235
7,0.9409784274830784
8,0.9196825300354492
9,0.9462596748478121
10,1.0307549953984043
11,1.0501794569003282
12,1.0562797743616792
13,1.3591498319032795
14,1.2686034863654454
15,1.2690150836540874
16,1.267308062169496
17,1.1826335163023804
18,1.1058559117870232
19,1.1806784136639208
20,1.2375451490654072
21,1.1658605003880527
22,1.2171900916588367
23,1.188500180718595
24,1.1338041144685118
25,1.1912733027738802
26,1.2019478039762355
27,1.2505294978368415
28,1.2999407092181383
29,1.324884978717776
30,1.3730009115884394
