day,price
1,1.0
2,0.7904765803827368
3,0.7661631071678418
4,0.8210183081049097
5,0.8579173207463334
6,0.8434585378632508
7,0.7911409867324374
8,0.8447563588481585
9,0.8418690261106722
10,0.7468893134064779
11,0.6615886831499779
12,0.5886817859994076
13,0.6186460162884214
14,0.5652600245655187
15,0.5548601735840764
16,0.5906121944295318
17,0.6075429879627842
18,0.5915714266952126
19,0.539661914562115
20,0.5717309349916347
21,0.6022039465398233
22,0.570786882134882
23,0.5708656163063849
24,0.5578354088268013
25,0.5731174913186998
26,0.5937713061936539
27,0.6350076366693647
28,0.6319732024731815
29,0.6282755580530106
30,0.6217963553889547
