day,price
1,1.0
2,0.6663924008432346
3,0.5475196929310979
4,0.4478041714972582
5,0.4649293152947624
6,0.4848611065046751
7,0.4217429224598785
8,0.39656899575335186
9,0.41141931276550525
10,0.495380988383319
11,0.5501955371431615
12,0.5109087168860029
13,0.4892357306177309
14,0.49562009681720404
15,0.47687152423644935
16,0.4989486985901951
17,0.470187674854768
18,0.433719147352589
19,0.3947678172017975
20,0.35779376398455526
21,0.3455540005935901
22,0.39659436306628715
23,0.37520222347234444
24,0.38487965220598597
25,0.42867982414018213
26,0.40120504005995017
27,0.3714223721997429
28,0.34619536193121886
29,0.3497318604765717
30,0.31706383087932
