day,price
1,1.0
2,1.040339433207074
3,1.0046748498781854
4,0.8987313299557889
5,0.9306004683563089
6,0.9168713967243562
7,0.8334703391032137
8,0.7922630973513486
9,0.6757705595556183
10,0.8086547400549572
11,0.7679212364717116
12,0.746599287316458
13,0.7739594947827033
14,0.747245740112427
15,0.7222777988254635
16,0.7084355599360388
17,0.6869857553319598
18,0.6601740493188015
19,0.6157320459094839
20,0.603716754056931
21,0.681756574625517
22,0.5443911138830694
23,0.6025887159605543
24,0.5499552828995292
25,0.4999913708233004
26,0.47815965107991926
27,0.5581897423378613
28,0.6095865547828253
29,0.5296754107009826
30,0.5384329552644651
