day,price
1,1.0
2,1.067242788300886
3,1.1797929830568838
4,1.137617696293352
5,1.2525557347350929
6,1.2184589519598141
7,1.223141379403867
8,1.4596527033717688
9,1.3744013460441635
10,1.3629451337273084
11,1.411220770162286
12,1.3937617832555458
13,1.433929886781034
14,1.4366826261882573
15,1.5089589493528928
16,1.4317107070175066
17,1.374130807327275
18,1.4274540845980501
19,1.4078198134403292
20,1.3543656029807363
21,1.504776205066145
22,1.39611938988023
23,1.3471788274176149
24,1.2360233663080649
25,1.1550500780697495
26,1.2220261622466717
27,1.2503186825580586
28,1.1630205631489796
29,1.223501104472253
30,1.1661268074877458
