day,price
1,1.0
2,1.0182386240334331
3,1.030184841640684
4,0.9743340405279097
5,1.0091770918702632
6,1.010182907331599
7,0.9812714496574415
8,0.9801746599509392
9,1.008077225639645
10,0.9878430491827215
11,1.0082587905014158
12,1.0442633615840944
13,1.0903013897016953
14,1.0799777941314428
15,1.067978353075025
16,1.0705920590566593
17,1.0791123426192952
18,1.0913926148201254
19,1.1527327955332123
20,1.174415862298123
21,1.178160497313832
22,1.1759517791200553
23,1.2033687168932532
24,1.3046910510745362
25,1.3671369978252068
26,1.2608848334851455
27,1.2193161297238033
28,1.2429123764798018
29,1.2358250415578516
30,1.25617656136064
