day,price
1,1.0
2,1.0060043498991034
3,0.9973154229861017
4,1.023018365072666
5,0.9698546873613798
6,0.9389677305715449
7,0.9451850082046626
8,0.9145531134754228
9,0.933644213882077
10,0.8837549906433267
11,0.893349988808269
12,0.8790236843502639
13,0.8745416970516013
14,0.7725571039326224
15,0.8151691533768769
16,0.7961609876579052
17,0.8494100751140495
18,0.8320335230820026
19,0.8485837261217046
20,0.8648092984319531
21,0.8331000258144688
22,0.8125364614994921
23,0.808877949463718
24,0.8069802622990359
25,0.8149833022816427
26,0.8198837486345002
27,0.8379848965675708
28,0.8405032327428351
29,0.8402732116688784
30,0.8959025808544484
