day,price
1,1.0
2,1.0
3,1.0
4,1.0003232567192257
5,1.0004339211816635
6,1.000522258603434
7,1.000611566766103
8,1.0007125238195549
9,1.0007125238195549
10,1.0007125238195549
11,1.0010124827572149
12,1.0011454742603196
13,1.0012396361274816
14,1.0013415639218322
15,1.0014667894977485
16,1.0014667894977485
17,1.0014667894977485
18,1.001788104735177
19,1.0018638225252658
20,1.002003609214661
21,1.0021103907135045
22,1.002214259989652
23,1.002214259989652
24,1.002214259989652
25,1.0025705218994292
26,1.0026646837665911
27,1.0027666115609417
28,1.002861744169002
29,1.0029792038177299
30,1.0029792038177299
