day,price
1,1.0
2,0.9900354773386109
3,0.993640323713725
4,0.988259331771524
5,0.9955867904340557
6,0.9995063999978492
7,1.0031404761783052
8,1.0076376901882913
9,1.017451781024457
10,1.0022376083583358
11,1.0168749257727114
12,1.0053539312551985
13,1.0174317025585797
14,1.0164279571847075
15,1.0278707434360612
16,1.020874312341712
17,1.032526417164162
18,1.0491689414683913
19,1.02411269654242
20,1.0234503394898486
21,1.0247554633270688
22,1.0267077195557013
23,1.036367281336566
24,1.0441547114813698
25,1.0520670853441803
26,1.0587888789358233
27,1.0757374078511086
28,1.050448072638242
29,1.0555029257114457
30,1.0627733568489353
