day,price
1,1.0006414729006652
2,1.0006700519892768
3,1.0011606498108019
4,1.0018929827574004
5,1.0021591791674973
6,1.0028768039145177
7,1.0038343933448994
8,1.0043020421286173
9,1.0048822234185073
10,1.0051930356938856
11,1.0060420824480893
12,1.006731455396906
13,1.0070383119520265
14,1.0079204923823124
15,1.008109299972651
16,1.008683714692836
17,1.0093140507035443
18,1.0099678562655845
19,1.0101495236902103
20,1.010563608525512
21,1.012550971224166
22,1.012868562758559
23,1.0133188890053197
24,1.0137618836350895
25,1.0141508273630266
26,1.0142947299705343
27,1.0148878950236415
28,1.014919909540997
29,1.0156752498011734
30,1.0160498729595153
