rank,id,symbol,name,filepath,rows,status,error
24,binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),data\0024_binance-bridged-usdt-bnb-smart-chain_usd_prices_365d.csv,366,ok,
17,chainlink,link,Chainlink,data\0017_chainlink_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
25,weth,weth,WETH,data\0025_weth_usd_prices_365d.csv,366,ok,
18,bitcoin-cash,bch,Bitcoin Cash,data\0018_bitcoin-cash_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
26,avalanche-2,avax,Avalanche,data\0026_avalanche-2_usd_prices_365d.csv,366,ok,
19,wrapped-eeth,weeth,Wrapped eETH,data\0019_wrapped-eeth_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
27,leo-token,leo,LEO Token,data\0027_leo-token_usd_prices_365d.csv,366,ok,
20,stellar,xlm,Stellar,data\0020_stellar_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
21,ethena-usde,usde,Ethena USDe,data\0021_ethena-usde_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
22,sui,sui,Sui,data\0022_sui_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
28,coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,data\0028_coinbase-wrapped-btc_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
36,mantle,mnt,Mantle,data\0036_mantle_usd_prices_365d.csv,366,ok,
29,litecoin,ltc,Litecoin,data\0029_litecoin_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
37,the-open-network,ton,Toncoin,data\0037_the-open-network_usd_prices_365d.csv,366,ok,
30,hedera-hashgraph,hbar,Hedera,data\0030_hedera-hashgraph_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
38,crypto-com-chain,cro,Cronos,data\0038_crypto-com-chain_usd_prices_365d.csv,366,ok,
31,usdt0,usdt0,USDT0,data\0031_usdt0_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
39,ethena-staked-usde,susde,Ethena Staked USDe,data\0039_ethena-staked-usde_usd_prices_365d.csv,366,ok,
32,monero,xmr,Monero,data\0032_monero_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
33,whitebit,wbt,WhiteBIT Coin,data\0033_whitebit_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
34,shiba-inu,shib,Shiba Inu,data\0034_shiba-inu_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
35,zcash,zec,Zcash,data\0035_zcash_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
40,polkadot,dot,Polkadot,data\0040_polkadot_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
48,okb,okb,OKB,data\0048_okb_usd_prices_365d.csv,366,ok,
41,dai,dai,Dai,data\0041_dai_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
49,susds,susds,sUSDS,data\0049_susds_usd_prices_365d.csv,319,ok,
