day,price
1,1.0
2,0.9860101837208943
3,0.9620078422530478
4,0.971781658297695
5,1.0810613694521034
6,1.1589042435662993
7,1.1888737782998124
8,1.2621694361109794
9,1.2758151657885222
10,1.3508834706466635
11,1.30624410075018
12,1.2819220049869877
13,1.2244376348349728
14,1.2375990151451697
15,1.2652905406545327
16,1.2325802523610092
17,1.2657262669951703
18,1.248189144855461
19,1.2348287964028428
20,1.33584939305671
21,1.3305527908010046
22,1.3621165207852532
23,1.3516266093891431
24,1.3704883662214358
25,1.333833481586424
26,1.4746027510348503
27,1.43660009856521
28,1.4440867104721624
29,1.4881878434399798
30,1.4884953750729992
