day,price
1,1.0
2,0.9613559628757388
3,0.9090007895945621
4,0.8881901915120448
5,0.8781910467349016
6,0.8677825524301771
7,0.8987229977805417
8,0.8526035391132181
9,0.8606353330925416
10,0.8754720359063607
11,0.8531186694488043
12,0.8068354073817405
13,0.7820518195077636
14,0.8819255476770976
15,0.9246961306930568
16,0.9343600957374666
17,0.9126368993328989
18,0.9239496054213014
19,0.9322786790357539
20,0.9662518618650214
21,0.9207040507673845
22,0.8884812286270519
23,0.9591773256117316
24,0.9600956174786659
25,0.9048060287172172
26,0.8977358125141924
27,0.9188576272746506
28,0.9055606526622777
29,0.9181508455397424
30,0.964594940896567
