day,price
1,1.0
2,1.0347477116101835
3,1.0000764483957028
4,1.0791271242002485
5,1.080946406243377
6,1.0437796524215546
7,0.9580598140948011
8,0.9895732098784451
9,1.002742815367775
10,1.0239873037505662
11,0.9614928884568569
12,0.9587219187660836
13,0.9405674970199036
14,0.8909400902548666
15,0.8828244298852843
16,0.9052150134299489
17,0.8970790317910086
18,0.9769353246582444
19,1.0073430142458062
20,1.0337145986788505
21,1.0422744596596234
22,1.088166239806438
23,1.0979543785662225
24,1.1029889513853965
25,1.1049108212588137
26,1.1476912428461716
27,1.0939964266102615
28,1.1006187795751785
29,1.0974122898275203
30,1.1397758106631934
