day,price
1,1.0
2,1.0592456287580856
3,1.0300430177584434
4,1.0086082406982129
5,1.036493117949646
6,1.1127339484490923
7,1.0936813725710222
8,1.0313041108229504
9,1.06875570727728
10,1.0891858979760365
11,1.1927024176397374
12,1.3274591894267889
13,1.4504684253803763
14,1.4543182450682444
15,1.5015165395052117
16,1.3700431721382078
17,1.3494231241682662
18,1.2757172656761815
19,1.3008540806426847
20,1.3395102898449647
21,1.2803804762484348
22,1.2548920071183218
23,1.188319149556629
24,1.179763643623465
25,1.096045446745587
26,1.066910454076454
27,1.049269704751719
28,0.9078348674104837
29,1.0026213493896001
30,1.0255283230486663
