day,price
1,1.0
2,0.9370246114403911
3,0.8152079264613991
4,0.8234595970352969
5,0.7454773254714616
6,0.7425724325296564
7,0.7139674414574252
8,0.7128552680419907
9,0.6882467728487349
10,0.7146924956164382
11,0.7765965461972241
12,0.671932429433645
13,0.5612211784266985
14,0.5807857754703327
15,0.574140135350934
16,0.545995519288087
17,0.5492953282858525
18,0.42160446522592554
19,0.38842723319134154
20,0.3947512884090094
21,0.37530395086140317
22,0.365194018999275
23,0.44716549334586736
24,0.4396313957459675
25,0.4124563938746237
26,0.4185886302751432
27,0.4169997512717611
28,0.46709161746244915
29,0.4578577374984223
30,0.45179358516564566
