day,price
1,1.0
2,0.767785735369525
3,0.9227409743356431
4,0.784345450619471
5,0.905192773797723
6,0.9855788146492417
7,1.1396703384036784
8,1.3969158173251228
9,1.5473462627158054
10,1.7396452197784287
11,1.740423029087919
12,10.820851473804993
13,13.422186937202
14,23.84628710632114
15,27.149239975311406
16,30.07424813301647
17,35.241032904687245
18,62.68520725538007
19,25.73957968854673
20,41.47501381538329
21,76.90804435781496
22,97.30118090059061
23,56.90548390666024
24,51.41714000557585
25,27.631430764779623
26,23.153691640668352
27,37.19729404593358
28,59.67254407167569
29,59.1219785058671
30,87.57634241735977
