day,price
1,1.0
2,0.9558589113804545
3,0.9828798167674675
4,1.050888674448053
5,1.0224574818427326
6,0.9970054572624475
7,1.0490789583373565
8,1.1440885449263996
9,1.1506177973735914
10,1.1994453935561131
11,1.1614427716414233
12,1.0462954236483317
13,1.0621591487201894
14,1.0598496905742285
15,1.0341289479457794
16,1.0423405287398326
17,1.0249705403899683
18,1.0313319093121258
19,1.006623607656206
20,0.984455203460465
21,0.9665959964894407
22,0.9933886215317926
23,1.0137872376599415
24,0.994336164986341
25,0.9476352486444263
26,0.8419728648376609
27,0.8540201316313188
28,0.7880269342900387
29,0.7735696888715795
30,0.742675278272106
