day,price
1,1.0
2,1.0265956355319572
3,1.0077670305645419
4,1.0021650366035006
5,1.0201505395133355
6,1.0612103706963667
7,1.0713326276531854
8,1.0075005685554994
9,1.001590748352349
10,0.9832827888977802
11,0.9935983451885553
12,0.9721315601188617
13,0.9417027607346293
14,0.9307791582723106
15,0.7988962025548241
16,0.8712528632820078
17,0.8956980193117556
18,0.9925482804065308
19,0.9500423838843948
20,0.9454121694940586
21,0.9307205143051415
22,0.9181265759964811
23,0.9139849987661992
24,0.9201221341125694
25,0.8876559028511662
26,0.8799389012974238
27,0.8714161036916588
28,0.8833596842406578
29,0.8354401555095224
30,0.8115733403326968
