day,price
1,1.0
2,1.2565498109313378
3,1.2769193094055644
4,1.1775940072593574
5,1.1521575229382153
6,1.2515532122418052
7,1.2485817677036022
8,1.3131839989258547
9,1.414553885060929
10,1.443977715695501
11,1.527399486631621
12,1.9512934416159733
13,1.9381312751964153
14,2.8144968414679905
15,2.4869252585265618
16,2.3952368923891423
17,2.4525130393623518
18,2.0616356584975817
19,1.9343499888477729
20,2.162507606356818
21,2.0375792931152814
22,2.2776061061159547
23,2.123338840099449
24,2.2563983367982225
25,2.17011917676418
26,2.0447546929800895
27,1.8169803537211207
28,1.655079700877447
29,1.7148305463796492
30,1.5850120900858722
