day,price
1,1.0
2,1.0025801636548821
3,1.0575381173637293
4,1.0860509562483545
5,1.1139515172482775
6,1.0220888344332582
7,1.116278824971286
8,1.090526413458608
9,1.0535472383231648
10,1.0412983540271674
11,1.0587349089974505
12,1.0675636359656633
13,1.0634465249217706
14,1.016825194296581
15,1.0271122144656575
16,1.0012611376831682
17,0.9758558879717165
18,0.9823496217965463
19,0.9935344610721354
20,1.018353024864554
21,1.0826303216917643
22,1.0439781843650522
23,1.0644404200774085
24,1.0657262245519599
25,1.0897699939835532
26,1.1745715186960832
27,1.1479692178399872
28,1.0083862101041272
29,1.0117392693480074
30,0.9470721622725906
