day,price
1,1.0
2,1.0145136150442642
3,0.9759768677404493
4,1.0583794372146742
5,1.039386757550956
6,1.0681637846004242
7,1.0913599280852322
8,1.0749786669810988
9,1.0814754016059491
10,1.071273339748667
11,1.0760139765876984
12,1.0877435520397496
13,1.0849830651715782
14,1.0947736197331952
15,1.0878600076558165
16,1.1206185987481199
17,1.1983074249971537
18,1.2012504445457604
19,1.2016502959285802
20,1.2120536888186326
21,1.2114051482977661
22,1.201415602557464
23,1.2086204673252874
24,1.2021744904208744
25,1.2067375943615468
26,1.2324926408403671
27,1.2391428013900172
28,1.2368377559885957
29,1.212524985842426
30,1.2128331087859419
