day,price
1,1.0
2,0.8735574151977965
3,0.9149936836612289
4,0.9976005166753907
5,0.9327457928829908
6,0.8945178438016196
7,0.8616032698741362
8,0.7863566054215683
9,0.9113672850412726
10,0.8414871761025703
11,0.81304389402032
12,0.8052809055348167
13,0.7892814987151545
14,0.7659531226893548
15,0.726970271138362
16,0.6921328298924911
17,0.697978992785415
18,0.8914662089719783
19,0.8152591131064314
20,0.796990015911613
21,0.8364218172475812
22,0.8587850365115938
23,0.8306010115289295
24,0.808471072410856
25,0.7650769530425372
26,0.75241727498736
27,0.7560493145078571
28,0.6781234622393932
29,0.6788342032053581
30,0.6643517303992399
