day,price
1,1.0
2,1.1116623028829857
3,1.1403707027242138
4,1.221438351891017
5,1.2119823135589458
6,1.2926971570055945
7,1.5031763349112377
8,1.4469397866060967
9,1.5953727431626394
10,1.5165198637318396
11,1.4995635710715662
12,1.4886042087057516
13,1.4278828786689506
14,1.4367255694021122
15,1.3568771737267553
16,1.3481992658346542
17,1.320284404133134
18,1.3206506742879953
19,1.3501602921607072
20,1.1836999857216421
21,1.210156506470316
22,1.334499481406114
23,1.2293515410005167
24,1.2248160759855118
25,1.2200614770266653
26,1.2120813322967094
27,1.2262176867182335
28,1.218558627431268
29,1.1749920155586935
30,1.152752863940719
